column,missing_count,missing_pct
numbcars,49366,49.366
dwllsize,38308,38.308
HHstatin,37923,37.923
ownrent,33706,33.706
dwlltype,31909,31.909
lor,30190,30.19
income,25436,25.435999999999996
adults,23019,23.019000000000002
infobase,22079,22.078999999999997
hnd_webcap,10189,10.189
prizm_social_one,7388,7.388
avg6qty,2839,2.839
avg6mou,2839,2.839
avg6rev,2839,2.839
truck,1732,1.7319999999999998
marital,1732,1.7319999999999998
rv,1732,1.7319999999999998
kid0_2,1732,1.7319999999999998
kid16_17,1732,1.7319999999999998
kid3_5,1732,1.7319999999999998
kid6_10,1732,1.7319999999999998
kid11_15,1732,1.7319999999999998
forgntvl,1732,1.7319999999999998
creditcd,1732,1.7319999999999998
ethnic,1732,1.7319999999999998
hnd_price,847,0.847
area,40,0.04
models,1,0.001
refurb_new,1,0.001
phones,1,0.001
eqpdays,1,0.001
dualband,1,0.001
avg3rev,0,0.0
actvsubs,0,0.0
uniqsubs,0,0.0
avg3qty,0,0.0
avg3mou,0,0.0
avgqty,0,0.0
avgrev,0,0.0
avgmou,0,0.0
adjqty,0,0.0
adjmou,0,0.0
totcalls,0,0.0
adjrev,0,0.0
totrev,0,0.0
totmou,0,0.0
crclscod,0,0.0
asl_flag,0,0.0
new_cell,0,0.0
Customer_ID,0,0.0
