uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID,rev_Mean,mou_Mean,totmrc_Mean,da_Mean,ovrmou_Mean,ovrrev_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,churn,months
2,1,U,A,N,1652,4228.0,1504.62,1453.44,4085.0,1602,29.66,83.37,32.69,272,116,30,322.0,136.0,38.0,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,2.0,2.0,WCMB,0.0,0.0,O,15.0,S,S,1.0,M,4.0,3.0,C,A,0.0,N,U,U,U,U,U,Y,361.0,1000001,23.9975,219.25,22.5,0.2475,0.0,0.0,0.0,0.0,0.0,-157.25,-18.9975,0.666666667,0.0,0.666666667,0.0,6.333333333,0.0,52.33333333,0.0,42.33333333,0.0,45.0,0.0,0.0,0.0,0.0,18.0,0.0,90.64333333,0.0,97.17666667,0.0,0.0,0.0,0.0,58.0,0.0,132.6,0.0,24.0,0.0,55.22,0.0,1.333333333,52.33333333,45.0,0.0,0.333333333,1,61
1,1,N,EA,N,14654,26400.0,2851.68,2833.88,26367.0,14624,51.53,479.4,265.89,305,158,40,477.0,275.0,48.0,U,CHICAGO AREA,N,N,,7.0,6.0,WC,1.0,1.0,,1.0,S,S,1.0,M,5.0,1.0,C,A,0.0,Z,U,U,U,U,U,Y,240.0,1000002,57.4925,482.75,37.425,0.2475,22.75,9.1,9.1,0.0,0.0,532.25,50.9875,8.333333333,0.0,1.0,0.0,61.33333333,0.0,263.3333333,0.0,69.0,0.0,193.3333333,0.0,1.666666667,6.333333333,5.463333333,53.0,0.333333333,189.3966667,0.0,55.28,46.33333333,24.21666667,6.333333333,3.696666667,83.66666667,0.0,75.33333333,0.0,157.0,0.0,169.3433333,0.0,9.333333333,263.3333333,193.3333333,0.0,5.666666667,0,56
1,1,Y,C,N,7903,24385.05333,2155.91,1934.47,24303.05,7888,34.54,433.98,140.86,12,7,17,11.0,6.0,17.0,S,GREAT LAKES AREA,N,N,29.98999023,2.0,1.0,,0.0,0.0,O,7.0,S,M,2.0,M,5.0,2.0,C,A,0.0,N,U,Y,U,U,U,Y,1504.0,1000003,16.99,10.25,16.99,0.0,0.0,0.0,0.0,0.0,0.0,-4.25,0.0,0.333333333,0.0,0.0,0.0,2.666666667,0.0,9.0,0.0,0.333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.333333333,0.0,5.426666667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.193333333,0.0,1.0,0.0,0.233333333,0.0,0.333333333,9.0,6.0,0.0,0.0,1,58
1,1,Y,B,N,1502,3065.0,2000.9,1941.81,3035.0,1479,40.45,63.23,30.81,8,3,38,50.0,25.0,40.0,T,CHICAGO AREA,N,N,29.98999023,1.0,1.0,,0.0,0.0,,6.0,M,M,4.0,M,6.0,1.0,C,D,0.0,U,Y,U,U,U,U,Y,1812.0,1000004,38.0,7.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.666666667,0.0,1.333333333,0.0,3.666666667,0.0,0.0,0.0,0.0,1.333333333,0.0,8.41,0.0,0.413333333,0.333333333,0.256666667,0.0,0.0,1.333333333,0.0,3.38,0.0,3.666666667,0.0,5.45,0.0,0.0,3.666666667,3.666666667,0.0,0.0,0,60
1,1,Y,A,N,4485,14028.0,2181.12,2166.48,13965.0,4452,38.69,249.38,79.5,558,191,55,586.0,196.0,80.0,U,NEW ENGLAND AREA,Y,N,149.9899902,6.0,4.0,WCMB,0.0,0.0,R,5.0,M,S,1.0,M,6.0,1.0,C,O,0.0,I,U,U,U,U,U,Y,434.0,1000005,55.23,570.5,71.98,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,9.666666667,0.0,0.666666667,0.0,77.0,0.0,222.3333333,0.0,94.66666667,0.0,137.0,0.0,8.666666667,15.0,11.07666667,66.0,0.0,285.2333333,0.0,106.33,14.66666667,10.81666667,0.666666667,0.366666667,97.33333333,0.0,173.4766667,0.0,90.33333333,0.0,218.0866667,0.0,10.33333333,222.3333333,137.0,0.0,0.0,0,57
2,2,Y,C,N,26812,40869.0,4033.98,3932.9,40295.0,26362,83.68,857.34,560.89,1260,960,80,1187.0,853.0,78.0,U,GREAT LAKES AREA,N,N,129.9899902,9.0,4.0,WCMB,0.0,0.0,O,1.0,,S,1.0,M,6.0,1.0,C,,0.0,U,U,U,U,U,U,Y,458.0,1000006,82.275,1312.25,75.0,1.2375,0.0,0.0,0.0,0.0,0.0,156.75,8.145,52.0,0.0,7.666666667,0.0,76.0,0.0,702.0,0.0,365.0,0.0,577.3333333,0.0,4.333333333,11.0,7.753333333,301.6666667,1.333333333,369.5366667,0.0,200.32,370.3333333,243.2133333,147.0,85.14666667,555.6666667,0.0,382.0966667,0.0,303.6666667,0.0,187.76,0.0,59.66666667,702.0,577.3333333,0.0,22.66666667,0,59
2,2,N,A,N,6279,17390.03333,3091.7,3065.24,17371.03,6271,58.95,334.06,120.6,0,0,17,0.0,0.0,17.0,C,DALLAS AREA,Y,N,29.98999023,4.0,3.0,,0.0,0.0,O,8.0,S,M,3.0,M,9.0,,I,A,0.0,N,U,U,U,U,U,Y,852.0,1000007,17.145,0.0,16.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,53
1,1,Y,B,N,4491,12492.0,1427.71,1423.06,12439.0,4470,34.71,303.39,109.02,633,96,39,719.0,112.0,58.0,,DALLAS AREA,Y,N,79.98999023,3.0,2.0,WCMB,0.0,0.0,R,0.0,S,M,2.0,M,1.0,2.0,C,A,1.0,S,U,U,U,U,U,Y,231.0,1000008,38.0525,682.5,52.49,0.2475,0.0,0.0,0.0,0.0,0.0,147.5,-3.0625,9.0,0.0,1.666666667,0.0,13.0,0.0,97.0,0.0,13.0,0.0,73.33333333,0.0,0.666666667,5.333333333,5.276666667,5.0,0.0,470.0233333,0.0,42.19666667,6.666666667,6.23,0.0,0.0,33.33333333,0.0,81.06666667,0.0,53.0,0.0,431.1533333,0.0,10.66666667,97.0,73.33333333,0.0,0.666666667,0,53
1,1,Y,B,N,16730,43231.05333,4404.44,4313.71,42943.05,16579,81.39,810.25,312.81,973,465,90,915.0,434.0,90.0,S,CHICAGO AREA,Y,N,29.98999023,3.0,3.0,,0.0,0.0,,3.0,M,M,3.0,M,4.0,1.0,C,E,0.0,F,U,U,U,U,U,N,700.0,1000009,97.3375,1039.0,50.0,4.95,419.5,41.95,41.95,0.0,0.0,198.0,23.2625,12.66666667,0.0,3.0,0.0,176.0,0.0,533.6666667,0.0,96.0,0.0,346.6666667,0.0,11.33333333,13.66666667,6.25,45.0,0.333333333,460.92,0.0,213.8533333,103.3333333,54.71333333,0.333333333,0.056666667,238.3333333,0.0,377.4533333,0.0,192.3333333,0.0,297.32,0.0,15.66666667,533.6666667,346.6666667,0.0,4.0,0,55
2,2,N,A,N,391,994.0,1458.42,1457.84,976.0,377,26.51,17.75,6.85,6,3,30,54.0,7.0,34.0,C,DALLAS AREA,Y,N,79.98999023,2.0,2.0,WCMB,0.0,0.0,O,8.0,S,M,2.0,M,9.0,2.0,I,A,1.0,N,U,U,U,U,U,Y,601.0,1000010,31.6625,25.5,29.99,0.2475,0.0,0.0,0.0,0.0,0.0,59.5,4.0275,0.0,0.0,1.0,0.0,2.333333333,0.0,6.666666667,0.0,0.0,0.0,3.333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.666666667,0.0,1.866666667,0.0,1.666666667,0.0,1.933333333,0.0,1.0,6.666666667,3.333333333,0.0,0.0,0,57
2,2,Y,A,N,2392,6868.11,3290.73,3195.01,6620.11,2312,56.05,116.14,40.56,90,16,60,123.0,32.0,64.0,C,DALLAS AREA,Y,N,79.98999023,3.0,3.0,WCMB,0.0,0.0,O,15.0,S,S,5.0,M,6.0,,C,A,0.0,N,Y,U,U,U,U,Y,464.0,1000011,62.1275,97.5,65.985,2.475,0.0,0.0,0.0,0.0,0.0,23.5,6.8225,0.0,0.0,0.333333333,0.0,4.0,0.0,19.33333333,0.333333333,0.0,0.0,15.0,0.333333333,4.0,98.66666667,96.92,0.0,0.0,136.4933333,0.056666667,0.0,3.666666667,15.36666667,0.0,0.0,7.666666667,0.333333333,66.07333333,0.056666667,7.333333333,0.0,70.42,0.0,0.333333333,19.66666667,15.33333333,0.0,0.0,0,59
3,3,Y,A,N,3207,5579.136667,3104.16,2796.06,5358.14,3087,54.82,105.06,60.53,18,13,36,36.0,26.0,36.0,C,CENTRAL/SOUTH TEXAS AREA,N,N,79.98999023,4.0,3.0,WC,0.0,0.0,O,4.0,S,A,3.0,M,9.0,,,A,0.0,N,U,U,Y,Y,U,Y,544.0,1000012,35.295,24.25,34.98,0.0,0.0,0.0,0.0,0.0,0.0,19.75,-0.315,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,2.333333333,0.0,5.533333333,0.0,2.386666667,4.0,2.926666667,1.666666667,1.516666667,9.333333333,0.0,7.17,0.0,1.666666667,0.0,0.75,0.0,0.0,9.0,8.0,0.0,0.0,0,53
1,1,Y,BA,N,31584,51857.07,4270.87,4181.91,51553.07,31397,78.9,972.7,592.4,1042,625,80,999.0,625.0,76.0,U,GREAT LAKES AREA,Y,N,199.9899902,9.0,5.0,WCMB,0.0,0.0,O,15.0,S,S,3.0,M,5.0,,B,A,0.0,J,U,U,U,U,U,Y,388.0,1000013,81.0,1056.25,75.0,0.0,0.0,0.0,0.0,0.0,0.0,42.75,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55
2,2,Y,A,N,400,642.0,1370.94,1323.62,613.0,385,25.95,12.02,7.55,3,2,25,4.0,3.0,25.0,C,CENTRAL/SOUTH TEXAS AREA,Y,N,59.98999023,2.0,2.0,WCMB,1.0,0.0,,1.0,S,U,1.0,M,7.0,,A,A,0.0,N,U,U,U,U,U,N,354.0,1000014,25.225,2.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.225,0.0,0.0,0.0,0.0,0.333333333,0.0,1.333333333,0.0,0.333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.306666667,0.0,1.133333333,0.333333333,0.023333333,0.0,0.0,0.666666667,0.0,2.2,0.0,0.666666667,0.0,0.24,0.0,0.0,1.333333333,1.0,0.0,0.0,0,53
5,1,Y,C,N,33184,69161.08333,6616.72,6572.7,69104.08,33139,115.31,1212.35,581.39,2038,637,248,1817.0,576.0,182.0,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,10.0,6.0,WCMB,0.0,0.0,O,11.0,S,S,3.0,M,3.0,2.0,I,A,0.0,N,U,U,Y,U,U,Y,199.0,1000015,212.515,1971.5,84.99,2.2275,249.5,99.8,99.8,0.0,35.4975,-200.5,-106.765,9.0,0.0,0.0,0.0,43.66666667,0.0,344.6666667,0.0,271.3333333,0.0,296.0,0.0,0.333333333,3.333333333,3.316666667,126.3333333,0.0,581.2966667,0.0,718.07,49.33333333,35.16333333,4.666666667,9.263333333,351.6666667,0.0,864.1733333,0.0,128.6666667,0.0,435.1933333,0.0,9.0,344.6666667,296.0,0.0,1.0,0,59
2,2,N,B,N,7586,15226.03,2311.08,2303.38,15180.03,7560,43.46,286.42,142.64,203,106,43,222.0,115.0,41.0,S,DALLAS AREA,Y,N,79.98999023,5.0,4.0,WCMB,0.0,0.0,O,4.0,M,U,3.0,M,1.0,,,,0.0,N,U,Y,U,U,U,Y,697.0,1000016,42.565,270.5,37.48,0.2475,6.0,1.5,1.5,0.0,0.0,201.5,-1.785,3.333333333,0.0,1.666666667,0.0,7.666666667,0.0,67.66666667,0.0,25.33333333,0.0,55.33333333,0.0,1.0,1.666666667,1.026666667,11.66666667,0.0,117.8466667,0.0,57.09333333,11.0,10.81,3.666666667,4.0,62.33333333,0.0,136.7966667,0.0,18.0,0.0,38.14333333,0.0,5.0,67.66666667,55.33333333,0.0,0.333333333,0,55
1,1,N,B,N,4078,11330.0,1739.43,1722.98,11316.0,4067,50.68,332.82,119.62,446,193,63,429.0,183.0,64.0,T,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,29.98999023,3.0,2.0,WCMB,0.0,0.0,O,3.0,S,U,2.0,M,3.0,1.0,C,A,0.0,N,U,U,U,U,U,Y,530.0,1000017,63.0175,440.25,59.98,0.0,5.75,1.725,1.725,0.0,1.3125,-16.25,0.2125,5.0,0.0,0.0,0.0,17.33333333,0.0,138.3333333,0.0,53.0,0.0,118.0,0.0,3.666666667,10.66666667,8.27,22.0,0.333333333,225.0533333,0.0,93.87666667,0.0,0.0,0.0,0.0,141.3333333,0.0,268.56,0.0,14.33333333,0.0,50.37,0.0,5.0,138.3333333,118.0,0.0,1.666666667,0,57
3,2,N,A,N,7043,12661.0,2036.85,2013.28,12657.0,7041,36.61,230.13,128.02,143,76,33,135.0,73.0,32.0,U,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,79.98999023,6.0,5.0,WC,1.0,1.0,O,7.0,S,S,5.0,M,4.0,,C,A,0.0,N,U,U,U,U,Y,Y,48.0,1000018,35.59,153.0,29.99,0.0,16.0,5.6,5.6,0.0,0.0,30.0,7.35,2.0,0.0,0.666666667,0.0,17.33333333,0.0,53.0,0.0,26.0,0.0,33.33333333,0.0,0.0,0.0,0.0,14.66666667,0.0,50.13333333,0.0,33.10666667,8.0,10.94666667,4.666666667,5.253333333,48.33333333,0.0,77.15333333,0.0,7.0,0.0,6.086666667,0.0,2.666666667,53.0,33.33333333,0.0,0.333333333,0,59
1,1,N,A,N,8468,23835.0,1935.97,1914.23,23524.0,8378,47.86,588.1,209.45,1156,254,55,1031.0,248.0,55.0,S,DALLAS AREA,Y,N,29.98999023,4.0,4.0,WC,0.0,0.0,O,10.0,S,B,1.0,M,3.0,1.0,C,A,0.0,N,U,U,U,U,U,Y,408.0,1000019,55.27,1212.75,49.99,0.7425,0.0,0.0,0.0,0.0,1.285,169.25,0.99,2.666666667,0.0,6.0,0.0,43.66666667,0.0,225.0,0.0,121.6666667,0.0,173.6666667,0.0,4.333333333,9.666666667,7.5,43.0,0.0,456.98,0.0,490.1266667,50.66666667,50.00666667,8.333333333,18.40666667,189.3333333,0.0,593.0866667,0.0,105.0,0.0,354.02,0.0,8.666666667,225.0,173.6666667,0.0,4.333333333,0,52
1,1,Y,B,N,1319,4531.016667,1348.33,1276.0,4504.02,1306,42.53,150.13,43.53,181,63,51,240.0,62.0,51.0,U,CHICAGO AREA,Y,N,129.9899902,4.0,3.0,WCMB,0.0,0.0,R,15.0,S,S,4.0,M,1.0,2.0,C,A,0.0,S,U,U,Y,Y,Y,N,253.0,1000020,50.965,162.0,69.99,0.0,2.5,0.975,0.0,0.975,0.0,-58.0,-0.975,1.666666667,0.0,0.333333333,0.0,9.0,0.0,60.66666667,1.333333333,14.0,0.0,50.0,1.333333333,0.333333333,0.333333333,0.276666667,7.0,0.0,65.24666667,2.373333333,38.37333333,34.33333333,17.40666667,5.666666667,11.69,19.33333333,0.0,37.26666667,0.0,42.33333333,1.333333333,66.35333333,2.373333333,2.0,62.0,51.33333333,0.0,0.0,0,56
