feature,importance
eqpdays,0.11746863975491706
months,0.0929938432459411
change_mou,0.045340519816827435
mou_Mean,0.0436839695438814
hnd_price,0.03565384921729786
totmrc_Mean,0.0337429316836999
adjrev,0.032737564881135175
totrev,0.030334233776866993
avg3mou,0.028094966601888555
avgrev,0.025414044717968442
avgqty,0.02527980879853275
avg3qty,0.025269340729802615
change_rev,0.023133786097457504
totcalls,0.022859918998459128
complete_Mean,0.022703761454265375
rev_Mean,0.021849788024647286
adjqty,0.021409617426569594
avgmou,0.02120843215107116
adjmou,0.020598624167592904
totmou,0.020199952040408514
attempt_Mean,0.019979103168190165
vceovr_Mean,0.019100809739059078
ovrrev_Mean,0.018904771185439755
avg6mou,0.018134900671729026
avg6qty,0.01522890649447268
avg3rev,0.014919895886259138
drop_blk_Mean,0.0143069704330964
avg6rev,0.01407368846771384
drop_vce_Mean,0.012439037194601734
cc_mou_Mean,0.01113919354254832
uniqsubs,0.00967691817394163
phones,0.009607301360063136
models,0.009471337946489838
ccrndmou_Mean,0.00916398564831671
blck_vce_Mean,0.008674031585503597
asl_flag_Y,0.008593490987980745
custcare_Mean,0.00849793750620576
asl_flag_N,0.007118497658250184
refurb_new_N,0.0056028994558133096
refurb_new_R,0.005045229736050802
crclscod_EA,0.004045987492156956
hnd_webcap_WC,0.0038682790541537298
crclscod_AA,0.0037511362055351856
creditcd_Y,0.0036546180556319184
creditcd_N,0.0034962565775159137
actvsubs,0.0034641822768695226
dualband_N,0.0029151964845502767
dualband_Y,0.002652563732252898
hnd_webcap_WCMB,0.002407316560010843
datovr_Mean,0.002179724309842265
crclscod_A,0.0016577636723717438
new_cell_U,0.0015283639574638242
crclscod_BA,0.0012870094741309543
new_cell_Y,0.0010078590113130686
area_NORTHWEST/ROCKY MOUNTAIN AREA,0.0008910615283675106
crclscod_CA,0.0008525427035641051
new_cell_N,0.0007575193631161022
area_NEW YORK CITY AREA,0.0007455361202665282
area_MIDWEST AREA,0.000718326707526076
area_DC/MARYLAND/VIRGINIA AREA,0.0006475197779629939
crclscod_E4,0.0006065095831795983
area_SOUTHWEST AREA,0.00048196102143013755
crclscod_A2,0.0004277121282238326
area_ATLANTIC SOUTH AREA,0.0004152657575685701
crclscod_DA,0.00040870112014773066
area_CALIFORNIA NORTH AREA,0.00040185682802959706
area_HOUSTON AREA,0.0003873708568588861
area_SOUTH FLORIDA AREA,0.00037062403364468573
area_OHIO AREA,0.00036593616365404266
crclscod_ZA,0.0003604555540094737
area_LOS ANGELES AREA,0.0003554222267231245
dualband_T,0.00035304725508844234
area_DALLAS AREA,0.00032761924464716794
area_NEW ENGLAND AREA,0.0003216527193870429
area_GREAT LAKES AREA,0.0002950033500983325
area_NORTH FLORIDA AREA,0.00028244620858472756
crclscod_B,0.0002754591960999476
area_CENTRAL/SOUTH TEXAS AREA,0.00027426542938333216
drop_dat_Mean,0.00026073313356862635
area_CHICAGO AREA,0.00021951726211325942
area_PHILADELPHIA AREA,0.0001652583591250929
area_TENNESSEE AREA,0.00012778185438665332
blck_dat_Mean,9.698917593664613e-05
crclscod_C,8.452728427602381e-05
crclscod_D5,7.279851459683887e-05
crclscod_G,1.9220136159435312e-05
dualband_U,1.467548450248736e-05
hnd_webcap_UNKW,1.2051644628071199e-05
crclscod_Z4,1.0560204746272053e-05
crclscod_JF,7.429310943566009e-06
crclscod_U,5.006923573487095e-06
crclscod_E,3.793396600137764e-06
crclscod_C2,3.085602525885945e-06
crclscod_A3,0.0
crclscod_CC,0.0
crclscod_CY,0.0
crclscod_E2,0.0
crclscod_D,0.0
crclscod_D2,0.0
crclscod_D4,0.0
crclscod_B2,0.0
crclscod_C5,0.0
crclscod_ZY,0.0
crclscod_Z5,0.0
crclscod_TP,0.0
crclscod_S,0.0
crclscod_Z1,0.0
crclscod_Z2,0.0
crclscod_Z,0.0
crclscod_Y,0.0
crclscod_V1,0.0
crclscod_W,0.0
crclscod_EC,0.0
crclscod_GY,0.0
crclscod_GA,0.0
crclscod_K,0.0
crclscod_J,0.0
crclscod_IF,0.0
crclscod_I,0.0
crclscod_H,0.0
crclscod_EF,0.0
crclscod_EM,0.0
crclscod_V,0.0
crclscod_U1,0.0
crclscod_P1,0.0
crclscod_L,0.0
crclscod_M,0.0
crclscod_O,0.0
